ENTREZID,Uniprot.ID,Gene.name,testi,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,testi.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
2180,P33121,ACSL1,0.06602759494886175,ACSL1,ENSG00000151726,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,2180,P33121,ACSL1,0.07961532352694348,ACSL1,ENSG00000151726,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
2181,O95573,ACSL3,0.3173946751202752,ACSL3,ENSG00000123983,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,2181,O95573,ACSL3,0.3106933123433606,ACSL3,ENSG00000123983,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
2182,O60488,ACSL4,0.17125827467577565,ACSL4,ENSG00000068366,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,2182,O60488,ACSL4,0.1604685311190375,ACSL4,ENSG00000068366,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
2194,P49327,FASN,0.1699094419010692,FASN,ENSG00000169710,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,2194,P49327,FASN,0.24328614608344612,FASN,ENSG00000169710,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
2222,P37268,FDFT1,0.3116267318705064,FDFT1,ENSG00000079459,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,2222,P37268,FDFT1,0.4905764524029076,FDFT1,ENSG00000079459,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
2224,P14324,FDPS,0.24124755126371625,FDPS,ENSG00000160752,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,2224,P14324,FDPS,0.3365797986740382,FDPS,ENSG00000160752,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
29116,NA,NA,NA,NA,NA,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,29116,NA,NA,NA,NA,NA,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
3156,P04035,HMGCR,0.25536900426644127,HMGCR,ENSG00000113161,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,3156,P04035,HMGCR,0.419724503561819,HMGCR,ENSG00000113161,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
3157,Q01581,HMGCS1,0.2560920653390133,HMGCS1,ENSG00000112972,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,3157,Q01581,HMGCS1,0.34088017341364574,HMGCS1,ENSG00000112972,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
3158,P54868,HMGCS2,0.12116574753441128,HMGCS2,ENSG00000134240,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,3158,P54868,HMGCS2,0.12917410296776743,HMGCS2,ENSG00000134240,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
3422,Q13907,IDI1,0.3519894554356321,IDI1,ENSG00000067064,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,3422,Q13907,IDI1,0.4402161760801102,IDI1,ENSG00000067064,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
39,Q9BWD1,ACAT2,0.2930087866585648,ACAT2,ENSG00000120437,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,39,Q9BWD1,ACAT2,0.38824333689559587,ACAT2,ENSG00000120437,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
3930,Q14739,LBR,0.25149221456957904,LBR,ENSG00000143815,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,3930,Q14739,LBR,0.2372923375674587,LBR,ENSG00000143815,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
3992,O60427,FADS1,0.31162673187050643,FADS1,ENSG00000149485,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,3992,O60427,FADS1,0.3493941009438674,FADS1,ENSG00000149485,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
4047,P48449,LSS,0.2723986324554045,LSS,ENSG00000160285,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,4047,P48449,LSS,0.3884919618358004,LSS,ENSG00000160285,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
4597,P53602,MVD,0.2209444763234128,MVD,ENSG00000167508,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,4597,P53602,MVD,0.3317511250244433,MVD,ENSG00000167508,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
4598,Q03426,MVK,0.2881597633238783,MVK,ENSG00000110921,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,4598,Q03426,MVK,0.3786885447481124,MVK,ENSG00000110921,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
50814,Q15738,NSDHL,0.3060817456579771,NSDHL,ENSG00000147383,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,50814,Q15738,NSDHL,0.4047311152534956,NSDHL,ENSG00000147383,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
