pathway,p_value,effec_size,magnitude,difference
WP5108,0.03282460803135419,0.11251919017540066,1,-0.21303415602457026
WP3933,0.6490893665628727,0.026775008866403775,1,0.027986457405723073
WP2880,0.36289817863243556,0.028163614645941415,1,-0.04505177809186019
WP5083,0.03327302192695246,0.046949183612309264,1,-0.07800172204128566
WP2864,0.9696878983326108,0.0011366233558202689,1,0.0010241044841226795
WP2840,0.6089827188940043,0.017047160392300156,1,-0.024976272444863924
WP2817,0.016973402672644355,0.11268612615362468,1,0.1400262393054352
WP2525,0.23895201059644403,0.039501661044219996,1,0.04700881350401657
WP241,0.11773413057111809,0.052443181262772955,1,0.06097683427621746
WP4688,0.007102772399663171,0.1876693023625051,1,0.10775251298890215
WP5103,0.025109533938432807,0.10193044035701841,1,-0.12000080278679612
WP314,0.6239041326080592,0.014344302668530354,1,-0.01793522578599846
WP5102,0.03944078441950612,0.09007534472736248,1,-0.12196808645531582
WP5104,1.6600671939268356e-6,0.28236442999946715,1,-0.4320007121186393
WP4830,0.568838831192891,0.03990447392036735,1,0.04594948340536136
WP5066,0.6488850992153963,0.021344244721473667,1,0.025041797908446174
WP2876,0.6277828974250974,0.017953773530633422,1,-0.01199999945266432
WP3612,0.5001929007565648,0.02827769083319828,1,-0.04395863588853789
WP98,0.14955295974646277,0.046736410713958065,1,-0.10505597067456289
WP2289,0.7687249435181361,0.0195204606096763,1,0.00801090789310738
WP5122,0.024740881561214845,0.0885620219411635,1,-0.1350688101176134
WP5044,0.9606310044603578,0.002964605377644503,1,0.0040343377272222935
WP4790,0.021440488622812885,0.15275433478123443,1,0.2399446526432393
WP4767,0.11342258945267347,0.07967884550099917,1,-0.07400493077919373
WP4758,0.0013867420844327052,0.09924684675019663,1,-0.16499803724052575
WP205,1.1760809575505368e-4,0.15430133759937517,1,-0.1639796254912038
WP3844,0.005660918295233348,0.09971645280216003,1,-0.10995974193435201
WP2361,0.35750221039422575,0.047548679561850445,1,0.05894607994498261
WP4518,0.09646986941282924,0.11319872315056345,1,-0.1330054877166527
WP4698,0.254153785044091,0.04656619215360625,1,-0.061047249706087645
WP100,0.22638820495025888,0.04891223621012076,1,-0.050993224838128695
